10
"Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
"Oliver Sacks" "The Man Who Mistook His Wife for a Hat"
"Thomas Cormen, Charles Leiserson, Ronald Rivest, and Clifford Stein" "Introduction to Algorithms"
"Jane Austen" "Pride and Prejudice"
"Svante Paabo" "Neanderthal Man: In Search of Lost Genomes"
"The Medieval Murderers" "Hill of Bones"
"Herman Melville" "Moby-Dick; or, The Whale"
"Sue Sorensen" "A Large Harmonium"
"Steven Saylor" "Raiders of the Nile"
"Paula Hawkins" "The Girl on the Train"
B "Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
Q "Karen Kucera Bate" "Tales of a Starving Actress"
H "Tom Reiss" "The Black Count"
Q "Terry Pratchett" "Small Gods"
H "Robert Zurbin" "The Case for Mars"
Q "Becky Chambers" "The Long Way to a Small, Angry Planet"
B "Sue Sorensen" "A Large Harmonium"
Q "James S. A. Covey" "Abaddon's Gate"
Q "Jane Yolen" "Tales of Wonder"
H "Dennis Lee" "Garbage Delight"
B "Svante Paabo" "Neanderthal Man: In Search of Lost Genomes"
Q "Jane Austen" "Pride and Prejudice"
Q "Sue Sorensen" "A Large Harmonium"
Q "James S. A. Covey" "Abaddon's Gate"
H "Sue Sorensen" "A Large Harmonium"
Q "Paula Hawkins" "The Girl on the Train"
Q "Sue Sorensen" "A Large Harmonium"
Q "Terry Pratchett" "Small Gods"
B "Jane Austen" "Pride and Prejudice"
Q "Steven Saylor" "Raiders of the Nile"
Q "Philip Freeman" "Alexander the Great"
H "James S. A. Covey" "Abaddon's Gate"
B "Herman Melville" "Moby-Dick; or, The Whale"
R "Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
B "Alwyn Hamilton" "Rebel of the Sands"
H "Terry Pratchett" "Small Gods"
H "Jane Austen" "Pride and Prejudice"
R "Herman Melville" "Moby-Dick; or, The Whale"
Q "Herman Melville" "Moby-Dick; or, The Whale"
B "Steven Saylor" "Raiders of the Nile"
R "Svante Paabo" "Neanderthal Man: In Search of Lost Genomes"
B "Becky Chambers" "The Long Way to a Small, Angry Planet"
B "Robert Zurbin" "The Case for Mars"
A "Jeremy Clarkson" "Motorworld"
R "Jane Austen" "Pride and Prejudice"
A "Joseph O'Rourke" "Computational Geometry in C"
A "Bill Waterson" "The Complete Calvin and Hobbes"
B  "Paul Hiebert" "Sarah Binks"
B "Terry Pratchett" "Small Gods"
B "Jeremy Clarkson" "Motorworld"
Q "James S. A. Covey" "Abaddon's Gate"
Q "Joseph O'Rourke" "Computational Geometry in C"
Q "Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
A "Douglas Adams" "The Hitchhiker's Guide to the Galaxy"
A "David Arnason" "The Dragon and the Dry Goods Princess"
Q "Margaret Doody" "Aristotle Detective"
B "Bill Waterson" "The Complete Calvin and Hobbes"
Q "Jane Austen" "Pride and Prejudice"
A "Iain Pears" "An Instance of the Fingerpost"
R "Steven Saylor" "Raiders of the Nile"
Q "Iain Pears" "An Instance of the Fingerpost"
A "Eoin Colfer" "Artemis Fowl"
A "Atul Gawande" "The Checklist Manifesto: How to Get Things Right"
Q "James S. A. Covey" "Abaddon's Gate"
R "Robert Zurbin" "The Case for Mars"
Q "William Makepeace Thackeray" "Vanity Fair"
Q "Becky Chambers" "The Long Way to a Small, Angry Planet"
H "Katherine Addison" "The Goblin Emperor"
Q "Herman Melville" "Moby-Dick; or, The Whale"
Q "Paul Hiebert" "Sarah Binks"
Q "Joseph O'Rourke" "Computational Geometry in C"
B "Michael Pollan" "Food Rules: An Eater's Manual"
Q "Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
Q "Douglas Adams" "The Hitchhiker's Guide to the Galaxy"
B  "Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
A "P. G. Wodehouse" "The Code of the Woosters"
Q "Steven Saylor" "Raiders of the Nile"
H "Terry Pratchett" "Small Gods"
R  "Alexander McCall Smith" "No. 1 Ladies' Detective Agency"
H "Naomi Novik" "Uprooted"
A "Don Marquis" "archy and mehitabel"
Q "Terry Pratchett" "Small Gods"
B "Douglas Adams" "The Hitchhiker's Guide to the Galaxy"
A "Louis Sachar" "Holes"
A "Jane Yolen" "How Do Dinosaurs Say Good Night?"
A "Neil Gaiman" "Stardust"
A "Claire Nouvian" "The Deep: The Extraordinary Creatures of the Abyss"
Q "Bill Waterson" "The Complete Calvin and Hobbes"
Q "Margaret Doody" "Aristotle Detective"
R "Douglas Adams" "The Hitchhiker's Guide to the Galaxy"
Q "Steven Saylor" "Raiders of the Nile"
Q "Douglas Adams" "The Hitchhiker's Guide to the Galaxy"
H "Steven Brust and Skyler White" "The Incrementalists"
Q "Charles Dickens" "Great Expectations"
H "William Makepeace Thackeray" "Vanity Fair"
H "Tom Reiss" "The Black Count"
Q "Bill Waterson" "The Complete Calvin and Hobbes"
