5
"Svante Paabo" "Neanderthal Man: In Search of Lost Genomes"
"The Medieval Murderers" "Hill of Bones"
"Herman Melville" "Moby-Dick; or, The Whale"
"Sue Sorensen" "A Large Harmonium"
"Karen Kucera Bate" "Tales of a Starving Actress"
Q "Robert Zurbin" "The Case for Mars"
B "Sue Sorensen" "A Large Harmonium"
R "James S. A. Covey" "Abaddon's Gate"
A "Jane Yolen" "Tales of Wonder"
B "Svante Paabo" "Neanderthal Man: In Search of Lost Genomes"
Q "Sue Sorensen" "A Large Harmonium"
Q "James S. A. Covey" "Abaddon's Gate"
H "Sue Sorensen" "A Large Harmonium"
Q "Sue Sorensen" "A Large Harmonium"
H "James S. A. Covey" "Abaddon's Gate"
B "Herman Melville" "Moby-Dick; or, The Whale"
R "Herman Melville" "Moby-Dick; or, The Whale"
Q "Herman Melville" "Moby-Dick; or, The Whale"
Q "Herman Melville" "Moby-Dick; or, The Whale"
R "Svante Paabo" "Neanderthal Man: In Search of Lost Genomes"
